"Year";"TP_winter_mgl";"PO4_winter_mgl";"TP_epi_mgl";"PO4_epi_mgl"
"1987";0,07;0,055;0,0584848484848485;0,0415151515151515
"1988";0,055;0,0413333333333333;0,0376388888888889;0,0249166666666667
"1989";0,05;0,0308333333333333;0,04;0,0241212121212121
"1990";0,0375;0,0241666666666667;0,0336363636363636;0,0165757575757576
"1991";0,0366666666666667;0,0241666666666667;0,0278787878787879;0,017
"1992";0,0441666666666667;0,0283333333333333;0,0355555555555556;0,0225
"1993";0,0558333333333333;0,0483333333333333;0,0327777777777778;0,0188888888888889
"1994";0,0666666666666667;0,02775;0,0487777777777778;0,0151666666666667
"1995";0,0543333333333333;0,033;0,0363611111111111;0,0141388888888889
"1996";0,03725;0,0266666666666667;0,0295555555555556;0,0133055555555556
"1999";0,0453333333333333;0,0145;0,03225;0,01525
"2000";0,039;0,021;0,0270833333333333;0,021
"2001";0,0431666666666667;0,011;0,0234166666666667;0,01325
"2003";0,026;0,0225;0,0210909090909091;0,00818181818181818
"2004";0,0265;0,0133333333333333;0,0171666666666667;0,00333333333333333
"2005";0,009;0,00433333333333333;0,00808333333333333;0,00475
"2006";0,0103333333333333;0;0,0116666666666667;0,002
"2007";0,0166666666666667;0,0125;0,015;0,00308333333333333
"2008";0,02;0;0,0155833333333333;0
"2009";0,0321666666666667;0,0138333333333333;0,0170833333333333;0,00541666666666667
"2010";0,023;0,004;0,0168333333333333;0,002
"2011";0,0161666666666667;0;0,0118333333333333;0,002
"2012";0,0208333333333333;0,006;0,022;0,00508333333333333
"2013";0,031;0,0193333333333333;0,0185;0,00525
"2014";0,0276666666666667;0,00783333333333333;0,0174166666666667;0,00175
"2015";0,0183333333333333;0,002;0,0136666666666667;0,00175
"2016";0,0225;0,00633333333333333;0,0161666666666667;0,00216666666666667
"2017";0,0156666666666667;0;0,01225;0
"2018";0,0323333333333333;0,0208333333333333;0,0146666666666667;0,00655555555555556
"2019";0,0145;0,002;0,0129166666666667;0,0015
"2020";0,0126666666666667;0,006;0,0114444444444444;0,002
"2021";0,0218333333333333;0,0128333333333333;0,017;0,00325
"2022";0,0161666666666667;0;0,0118333333333333;5e-04
"2023";0,0175;0,0123333333333333;0,01375;0,00433333333333333
"2024";0,0276666666666667;0,0196666666666667;0,0197777777777778;0,0104444444444444
"2025";NA;NA;NA;NA
